datetime,weekday,diferencia
2020-09-15 14:35:56,1,9.750000006
2020-09-15 14:35:56,1,0
2020-09-15 14:40:58,1,5.033333336
2020-09-15 14:49:25,1,8.449999995
2020-09-15 15:11:23,1,21.96666667
2020-09-15 15:13:23,1,1.999999996
2020-09-15 15:16:12,1,2.816666675
2020-09-15 15:28:27,1,12.24999999
2020-09-15 15:30:59,1,2.533333339
2020-09-15 15:32:19,1,1.333333331
2020-09-15 15:45:42,1,13.38333333
2020-09-15 15:57:47,1,12.08333334
2020-09-15 16:14:04,1,16.28333333
2020-09-15 16:16:37,1,2.550000009
2020-09-15 16:22:54,1,6.283333325
2020-09-15 16:24:27,1,1.550000006
2020-09-15 16:27:17,1,2.833333336
2020-09-15 16:28:43,1,1.433333333
2020-09-15 16:44:55,1,16.19999999
2020-09-15 16:55:42,1,10.78333334
2020-09-15 17:09:39,1,13.94999999
2020-09-15 17:19:46,1,10.11666667
2020-09-15 17:20:58,1,1.199999998
2020-09-15 17:30:51,1,9.883333328
2020-09-15 17:39:08,1,8.283333342
2020-09-15 17:49:06,1,9.96666666
2020-09-15 18:08:05,1,18.98333334
2020-09-15 18:16:08,1,8.049999996
2020-09-15 18:18:55,1,2.783333334
2020-09-15 18:25:47,1,6.866666669
2020-09-15 18:29:26,1,3.649999994
2020-09-15 18:30:33,1,1.116666666
2020-09-15 18:35:52,1,5.316666673
2020-09-15 18:39:43,1,3.849999999
2020-09-15 18:46:07,1,6.399999998
2020-09-15 19:17:37,1,31.5
2020-09-15 21:20:23,1,122.7666667
2020-09-15 22:04:06,1,43.71666667
2020-09-15 22:04:06,1,0
2020-09-15 23:03:10,1,59.06666667
2020-09-15 23:24:32,1,21.36666666
2020-09-16 05:11:51,2,347.3166667
2020-09-16 06:12:41,2,60.83333334
2020-09-16 06:12:46,2,0.083333332
2020-09-16 06:56:22,2,43.6
2020-09-16 08:47:32,2,111.1666667
2020-09-16 11:19:59,2,152.45
2020-09-16 11:28:46,2,8.783333333
2020-09-16 13:26:07,2,117.35
2020-09-16 13:32:55,2,6.799999997
2020-09-16 13:47:23,2,14.46666666
2020-09-16 13:58:09,2,10.76666667
2020-09-16 14:01:58,2,3.816666668
2020-09-16 14:02:12,2,0.233333335
2020-09-16 14:14:36,2,12.4
2020-09-16 14:14:42,2,0.100000002
2020-09-16 14:20:13,2,5.516666668
2020-09-16 14:24:03,2,3.833333328
2020-09-16 14:24:03,2,0
2020-09-16 14:25:48,2,1.75
2020-09-16 14:50:42,2,24.9
2020-09-16 14:53:07,2,2.416666676
2020-09-16 15:01:29,2,8.366666663
2020-09-16 15:10:37,2,9.133333331
2020-09-16 15:17:49,2,7.199999996
2020-09-16 15:23:05,2,5.266666672
2020-09-16 15:25:46,2,2.683333332
2020-09-16 15:39:14,2,13.46666667
2020-09-16 15:41:15,2,2.016666667
2020-09-16 15:41:23,2,0.133333333
2020-09-16 15:42:25,2,1.033333334
2020-09-16 16:08:34,2,26.14999999
2020-09-16 16:14:13,2,5.650000001
2020-09-16 16:14:24,2,0.183333334
2020-09-16 16:19:02,2,4.633333337
